name,state,address,address2,city,county,country,lat,lng
Dunkin Donuts,NY,255 West Seneca Street,,Oswego,,US,43.452968,-76.530612
Dunkin Donuts,NY,1900 Military Rd,Prime Outlet At Niagara Falls,Niagara Falls,,US,43.097586,-78.975554
Dunkin Donuts,NY,38 W. Dyke St.,,Wellsville,,US,42.116872,-77.941111
Dunkin Donuts,NY,6601 Niagara Falls Blvd,,Niagara Falls,,US,43.088833,-78.987819
Dunkin Donuts,NY,9 W 1st St S,,Fulton,,US,43.323982,-76.423020
Dunkin Donuts,NY,105 State Route 104,,Oswego,,US,43.460728,-76.490383
Dunkin Donuts,NY,314 S 2nd St,,Fulton,,US,43.317575,-76.412344
Dunkin Donuts,NY,2244 Downer St,,Baldwinsville,,US,43.151150,-76.351346
Dunkin Donuts,NY,34 E Genesee St,,Baldwinsville,,US,43.158906,-76.328389
Dunkin Donuts,NY,125 Conhocton St,,Corning,,US,42.140221,-77.040543
Dunkin Donuts,NY,5300 W. Genesee St,,Camillus,,US,43.041349,-76.269098
Dunkin Donuts,NY,205 S. Meadow St,,Ithaca,,US,42.438241,-76.508388
Dunkin Donuts,NY,3317 Chambers Rd,,Horseheads,,US,42.160476,-76.878552
Dunkin Donuts,NY,3336 W Genesee St,,Syracuse,,US,43.048597,-76.229232
Dunkin Donuts,NY,7645 Oswego Rd,,Liverpool,,US,43.139964,-76.227500
Dunkin Donuts,NY,4155 State Route 31,Great Northern Mall,Clay,,US,43.188046,-76.226552
Dunkin Donuts,NY,7281 Oswego Rd,,Liverpool,,US,43.122765,-76.216395
Dunkin Donuts,NY,4206 Nys Route 31,,Clay,,US,43.185789,-76.223646
Dunkin Donuts,NY,2501 Corning Rd,,Elmira Heights,,US,42.150804,-76.834626
Dunkin Donuts,NY,855 East State St,,Olean,,US,42.075403,-78.411519
Dunkin Donuts,NY,4886 West Seneca Turnpike,,Syracuse,,US,43.005214,-76.178224
Dunkin Donuts,NY,9520 Carousel Ctr. Dr,Carousel Mall Unit 9520,Syracuse,,US,43.070972,-76.172536
Dunkin Donuts,NY,409 7th North Street,,Liverpool,,US,43.091217,-76.170146
Dunkin Donuts,NY,131 P & C Pkwy,Transportation Ctr,Syracuse,,US,43.076680,-76.169326
Dunkin Donuts,NY,5194 W Taft Rd,,North Syracuse,,US,43.121994,-76.156260
Dunkin Donuts,NY,217 S Salina St,Corner Of E. Fayette Ave,Syracuse,,US,43.048835,-76.151999
Dunkin Donuts,NY,3242 W. State St,,Allegheny,,US,42.080193,-78.477419
Dunkin Donuts,NY,3915 S. Salina,,Syracuse,,US,43.010313,-76.141961
Dunkin Donuts,NY,3800 Brewerton Rd,Ste 1,North Syracuse,,US,43.118481,-76.143106
Dunkin Donuts,NY,746 S. Crouse Ave,,Syracuse,,US,43.041657,-76.136767
Dunkin Donuts,NY,818 N Main St,,North Syracuse,,US,43.145494,-76.126447
Dunkin Donuts,NY,9555 Brewerton Rd,,Brewerton,,US,43.232215,-76.140455
Dunkin Donuts,NY,8083 Brewerton Rd,Rt 11,Cicero,,US,43.162899,-76.120225
Dunkin Donuts,NY,301 Madison Ave,,Elmira,,US,42.092446,-76.800161
Dunkin Donuts,NY,2921 James St,,Syracuse,,US,43.069255,-76.105893
Dunkin Donuts,NY,36 North St,,Dryden,,US,42.493576,-76.297955
Dunkin Donuts,NY,3041 East Ave/ Rt 49,,Central Square,,US,43.286812,-76.130546
Dunkin Donuts,NY,6584 Thompson Rd,,Syracuse,,US,43.089690,-76.091376
Dunkin Donuts,NY,6378 Thompson Rd,,Syracuse,,US,43.079404,-76.088685
Dunkin Donuts,NY,927 Tompkins St,State Highway 13,Cortland,,US,42.577202,-76.214921
Dunkin Donuts,NY,3649 Erie Blvd E.,Shoppingtown Mall,Dewitt,,US,43.040850,-76.066170
Dunkin Donuts,NY,4 Chevy Dr,,East Syracuse,,US,43.060683,-76.065678
Dunkin Donuts,NY,6681 Collamer Rd,,De Witt,,US,43.104978,-76.058424
Dunkin Donuts,NY,152 Clinton St,,Cortland,,US,42.606891,-76.167926
Dunkin Donuts,NY,2877 State Route 69,,Parish,,US,43.404578,-76.119381
Dunkin Donuts,NY,3742 State Route 11,,McGraw,,US,42.588134,-76.130389
Dunkin Donuts,NY,306 Fayette St,,Manlius,,US,43.004594,-75.982275
Dunkin Donuts,NY,4760 Salina St,Route 11 & 13,Pulaski,,US,43.561921,-76.126284
Dunkin Donuts,NY,8010 State Rd 31,,Bridgeport,,US,43.154165,-75.973895
Dunkin Donuts,NY,900 E. Genesee St,,Chittenango,,US,43.049011,-75.902432
Dunkin Donuts,PA,7 Main St,,Wellsboro,,US,41.750252,-77.298274
Dunkin Donuts,NY,3929 Vineyard Dr,,Dunkirk,,US,42.459237,-79.316037
Dunkin Donuts,NY,135 Park St,,Owego,,US,42.103144,-76.263160
Dunkin Donuts,NY,369 North Peterboro St,,Canastota,,US,43.090212,-75.751247
Dunkin Donuts,NY,213 Genesee St,,Oneida,,US,43.078543,-75.645720
Dunkin Donuts,NY,7858 State Route 434,,Apalachin,,US,42.058745,-76.139779
Dunkin Donuts,NY,1400 E Main St,,Endicott,,US,42.099260,-76.046354
Dunkin Donuts,NY,3521 Country Club Rd,,Endwell,,US,42.116416,-76.019191
Dunkin Donuts,NY,201 Vestal Pkwy West,,Vestal,,US,42.087521,-76.049524
Dunkin Donuts,PA,382 York Ave,,Towanda,,US,41.780915,-76.448357
Dunkin Donuts,NY,3000 Vestal Pky E,,Vestal,,US,42.094800,-76.004450
Dunkin Donuts,NY,216 Reynolds Rd,,Johnson City,,US,42.125466,-75.971621
Dunkin Donuts,NY,20823 NYS Route 3,Wal Mart,Watertown,,US,43.976370,-75.958510
Dunkin Donuts,NY,1250 Arsenal St,,Watertown,,US,43.976354,-75.944855
Dunkin Donuts,NY,4005 Vestal Pkwy,,Vestal,,US,42.096246,-75.977119
Dunkin Donuts,NY,1238 Washington St,,Watertown,,US,43.959737,-75.913717
Dunkin Donuts,NY,1315 Upper Front St,,Binghamton,,US,42.161394,-75.893918
Dunkin Donuts,NY,211 Main St,,Binghamton,,US,42.105084,-75.933894
Dunkin Donuts,NY,1155 Erie Blvd W.,,Rome,,US,43.224679,-75.486007
Dunkin Donuts,NY,715 Upper Court St,,Binghamton,,US,42.102262,-75.844805
Dunkin Donuts,NY,1701 Black River Blvd N,,Rome,,US,43.230480,-75.439599
Dunkin Donuts,NY,5697 State Highway 12,,Norwich,,US,42.516856,-75.522581
Dunkin Donuts,NY,26370 US Route 11,,Evans Mills,,US,44.050031,-75.835220
Dunkin Donuts,NY,33 Utica St,,Clinton,,US,43.052199,-75.374346
Dunkin Donuts,NY,10730 Memorial Dr,,Fort Drum,,US,44.047530,-75.810473
Dunkin Donuts,NY,Mt Belvedere Ave,Building P10720 Clark Hall,Fort Drum,,US,44.045879,-75.800702
Dunkin Donuts,NY,81 Oriskany Blvd,,Whitesboro,,US,43.118049,-75.292646
Dunkin Donuts,NY,45 Kellogg Rd,,New Hartford,,US,43.054952,-75.277090
Dunkin Donuts,NY,7389 Utica Blvd,,Lowville,,US,43.777309,-75.481447
Dunkin Donuts,NY,31 Schuyler St,,Utica,,US,43.107148,-75.244478
Dunkin Donuts,NY,1300 Genesee St,,Utica,,US,43.095879,-75.242701
Dunkin Donuts,NY,9827 River Rd,,Utica,,US,43.126522,-75.237080
Dunkin Donuts,PA,364 Hallstead Plaza,Route 11,Hallstead,,US,41.966100,-75.741565
Dunkin Donuts,NY,112 N Genesee St,,Utica,,US,43.107837,-75.220059
Dunkin Donuts,PA,1975 W 4th St,,Williamsport,,US,41.239625,-77.052416
Dunkin Donuts,PA,1900 E 3rd St,,Williamsport,,US,41.248481,-76.963442
Dunkin Donuts,PA,420 Bellefonte Ave,,Lock Haven,,US,41.134883,-77.452903
Dunkin Donuts,NY,40 First St,,Ilion,,US,43.014888,-75.036749
Dunkin Donuts,NY,103 North Caroline St,Wal*Mart,Herkimer,,US,43.021453,-74.997579
Dunkin Donuts,NY,505 West State Street,,Herkimer,,US,43.022699,-74.991942
Dunkin Donuts,PA,2 Lane Hill Rd,,Tunkhannock,,US,41.538198,-75.946175
Dunkin Donuts,NY,433 Chestnut St,,Oneonta,,US,42.455389,-75.096305
Dunkin Donuts,NY,374 Main St,,Oneonta,,US,42.457502,-75.056018
Dunkin Donuts,NY,2576 State Route 5 S,Tisi Rd,Little Falls,,US,43.015964,-74.804114
Dunkin Donuts,PA,3168 Memorial Hwy,,Dallas,,US,41.331757,-75.955102
Dunkin Donuts,PA,927 S. State St,,Clarks Summit,,US,41.488253,-75.695727
Dunkin Donuts,PA,600 N Derr Dr,,Lewisburg,,US,40.969956,-76.892700
Dunkin Donuts,PA,40 S Main St,,Carbondale,,US,41.570975,-75.503027
Dunkin Donuts,PA,671 Scranton Carbondale Hwy,,Eynon,,US,41.504724,-75.579235
Dunkin Donuts,PA,1510 Main Street,,Dickson City,,US,41.469281,-75.610058
Dunkin Donuts,PA,1339 N Main Ave,,Scranton,,US,41.431337,-75.664141
Dunkin Donuts,PA,1318 Wyoming Ave,,Kingston,,US,41.286065,-75.873100
Dunkin Donuts,PA,801 Wyoming Ave,,Pittston,,US,41.324849,-75.805821
Dunkin Donuts,PA,1101 S Washington Ave,,Scranton,,US,41.398018,-75.674645
Dunkin Donuts,PA,702 N Blakely St,,Dunmore,,US,41.428131,-75.623900
Dunkin Donuts,PA,3525 Birney Ave,,Moosic,,US,41.372431,-75.703086
Dunkin Donuts,PA,742 Davis St,,Scranton,,US,41.375566,-75.689578
Dunkin Donuts,PA,341 Walnut St,,Danville,,US,40.961472,-76.608467
Dunkin Donuts,PA,1141 Moosic St,,Scranton,,US,41.396458,-75.648789
Dunkin Donuts,PA,895 New Berwick Hwy,,Bloomsburg,,US,41.003237,-76.441773
Dunkin Donuts,PA,532 Scott St,,Wilkes Barre,,US,41.249524,-75.855092
Dunkin Donuts,PA,200 W College Ave,,State College,,US,40.793527,-77.862867
Dunkin Donuts,PA,219 W Front St,,Berwick,,US,41.053567,-76.236225
Dunkin Donuts,PA,Route 15 & Monroe St,,Hummels Wharf,,US,40.833078,-76.837881
Dunkin Donuts,PA,28 N Mountain Blvd,,Mountain Top,,US,41.164156,-75.884659
Dunkin Donuts,PA,1181 Texas Palmyra Highway,Honesdale Mall,Honesdale,,US,41.553594,-75.224559
Dunkin Donuts,NY,990 E Main St,,Cobleskill,,US,42.679581,-74.464597
Dunkin Donuts,PA,200 W Sunbury St,,Shamokin,,US,40.791676,-76.559433
Dunkin Donuts,NY,103 East Main St,,Canton,,US,44.597322,-75.148119
Dunkin Donuts,PA,1190 N Church St,Route 309,Hazleton,,US,40.980397,-75.980415
Dunkin Donuts,NY,209 N Comrie Ave,Johnstown Shopping Center,Johnstown,,US,43.015167,-74.361559
Dunkin Donuts,NY,121 Riverside Dr,,Fultonville,,US,42.948766,-74.358196
Dunkin Donuts,PA,324 South Logan Blvd,,Burnham,,US,40.605441,-77.568183
Dunkin Donuts,PA,10470 US Hwy 522 S,,Lewistown,,US,40.587050,-77.603594
Dunkin Donuts,NY,198 Second Ave,,Gloversville,,US,43.056373,-74.324286
Dunkin Donuts,PA,57 Route 940,,Blakeslee,,US,41.093850,-75.590628
Dunkin Donuts,NY,106 Park Pl,,Schoharie,,US,42.703464,-74.310986
Dunkin Donuts,NY,2470 State Highway 30,,Mayfield,,US,43.110810,-74.267310
Dunkin Donuts,NY,1935 State Rte. 52,,Liberty,,US,41.783783,-74.719430
Dunkin Donuts,NY,3682 State Hwy 30,,Broadalbin,,US,43.047869,-74.217729
Dunkin Donuts,NY,132 Market St,,Potsdam,,US,44.679217,-74.986684
Dunkin Donuts,PA,9 Mahanoy Ave,,Tamaqua,,US,40.823710,-75.980748
Dunkin Donuts,PA,400 Terry Rich Blvd,,Saint Clair,,US,40.729029,-76.194233
Dunkin Donuts,NY,160 Church Street,,Amsterdam,,US,42.937712,-74.179667
Dunkin Donuts,PA,38 Sterling Ave,,Mount Pocono,,US,41.128521,-75.361096
Dunkin Donuts,PA,3 Westwood Ctr,,Pottsville,,US,40.673831,-76.235308
Dunkin Donuts,PA,413 Claude  A Lord Blvd.,,Pottsville,,US,40.682075,-76.190589
Dunkin Donuts,PA,3132 Pleasant Valley Blvd,,Altoona,,US,40.485967,-78.400455
Dunkin Donuts,NY,Route 42 N,,Monticello,,US,41.671007,-74.672062
Dunkin Donuts,NY,6030 Duanesburg Rd,Mobil Station,Duanesburg,,US,42.764551,-74.118911
Dunkin Donuts,PA,92 Bridge St,,Lehighton,,US,40.828170,-75.705570
Dunkin Donuts,PA,28 Alger Ave,,Tannersville,,US,41.036390,-75.304063
Dunkin Donuts,NY,1128 Duanesburg Rd.,,Rotterdam,,US,42.781403,-74.028778
Dunkin Donuts,NY,2915 Amsterdam Rd,,Glenville,,US,42.854206,-74.009499
Dunkin Donuts,PA,118 Route 209,Regency Plaza Suite 15,Brodheadsville,,US,40.917331,-75.421229
Dunkin Donuts,OH,1150 S. Broadway,,Geneva,,US,41.789272,-80.948101
Dunkin Donuts,NY,135 W. Campbell Rd,,Rotterdam,,US,42.812597,-73.982180
Dunkin Donuts,NY,3045 Broadway,,Schenectady,,US,42.790098,-73.978822
